,professor_name,processed_comments
19,Leslie  Looney,great professor and great class i recommend taking this course it was a physical science and quantitive reasoning ii course
20,Jans  Wager,dr wager is a great professor her expectations were clear and she really wants to help you succeed she was always entertaining and knew what she was talking about i took her hybrid course which i would definitely recommend
21,Jans  Wager,i love prof wager hilarious and dedicated i took this as the hybrid block and i loved it it is fast paced but not a ton of work the final is only a page paper and you can revise your essays as many times as you want she really wants you to do well and helps you as much as you can if i could take every class with her i would
22,Jans  Wager,taken as hybrid course it was good taking it with this teacher especially in a hybrid course she only assigns stuff that is needed be aware if you take this in a hybrid class there will be something due every time before the next class course work is easy if you are committed to it and turn it in on time peer reviews are not accepted late
23,Jans  Wager,good teacher i took this as a second block class on accident lots of reading in the class not super necessary for the lectures but a fun teacher excited to share english with students normal amount of homework assignments and a small page paper due at finals
24,Jans  Wager,overall she is a fine professor but there are a lot of little things like not very clear are sometimes weird do one peer review on time expect to get an a
25,Jans  Wager,wager is a great professor she makes the class lively and is absolutely hilarious i took the hybridblock course as long as you do the assignments on time an easy a the only complaints i have are a lot of the content is politically influenced liberal and she always describe assignments or what is expected of you well
26,Jans  Wager,jans does an excellent job of teaching the basics and technical aspects of cinema while putting a spin on things great professor who cares that her class learn new perspectives from her lectures she is a solid grader and gave great feedback whenever i asked for it my writing skills have improved from taking this course
27,Jans  Wager,really enjoyed her class took it as a hybrid block class so it was very fast paced and all the assignments were submitted online she was very clear about how she wanted you to write and was very willing to help i would take her again i was very impressed with her teaching style
28,Jans  Wager,jans is great she is a fantastic teacher and her class was both interesting and lively she does expect you to read a lot out of the book and other sources as well she is a very lively teacher and you can tell she loves the subject she teaches
29,Jans  Wager,one of my favorite teachers taken i actually took her last semester but i liked her enough that i thought everyone should still know awesome she is clear on the work and you go over it in class i taken her for as well if she offered it
30,Jans  Wager,i found professor wager very helpful she does have a specific way she wants you to write but does make it clear after the first few assignments she helped me with brevity but wanted me to change my writing style to match the way she liked it she was a decent professor and is very willing to help
31,Jans  Wager,i took into to cinema studies from her and loved it great teacher which allot of film experience she will work with you to sharpen your writing skills one of my favorite professors here on campus just be prepared to think outside the box about movies
32,Jans  Wager,trouble is if you have different opinions on the topics you talk about then she like you as long as you stick to what she lays out you should be good she wants very badly to have students she molds if she mold you throw you away
33,Jans  Wager,jans is wonderful her teaching methods are some of the best that i have experienced there is a good deal of time involved in the course but if you like film criticism you mind though the subject ended up not being my cup of tea i still enjoyed going to class and doing the assignments
34,Jans  Wager,jans is an excellent teacher just awesome she is definitely organized she wants class discussion and that makes the class fun you can correct your papers at the end of the semester in your portfolio to have a better grade she is friendly and sincerly cares about student success word of caution mandatory attendance and ever be late
35,Jans  Wager,i loved this class jans is very flexible and openminded she just wants to help students learn take her class
36,Jans  Wager,jan is an amazing professor and i highly recommend taking her for english grades are easy to improve as you can edit your writing assignments as much as you want to get a better grade
37,Jans  Wager,she was an excellent teacher very organized she encouraged class discussion which made the class fun had several papers to do which helped you to improve writing skills could correct papers to have a better grade she is also friendly and genuinely interested in student success awesome all around
38,Jans  Wager,writing in her class was fun i really liked how she would let students rewrite their papers till they got the grade they wanted it certainly kept my grade up
39,Jans  Wager,jans has the most effective teaching style of any teacher met the material can be difficult but she makes it very easy to do well you have a series of papers to write if you get a bad score on them she will let you rewrite them for a better score you can continue rewriting them until you get the score you want.well prepared helpfull
40,Robert  Warden,this guy is a quack you never understand what he is saying
41,Robert  Warden,mind is sort of like a lottery ball machine every now and then a ball will come firing out with a small piece of information but never in a sequential order nice guy though
42,Robert  Warden,he likes to talk about his cat and diareha
43,Robert  Warden,could i despise this man anymore his lectures are one random topic after another he is always late and never knows when the class is over partially because he wear a watch lost every single one of my papers truly awful waste of time
44,Robert  Warden,the lectures are sleepinducing unless u participate he gives lots of credit if u do study sheets for quizzes so u know what expect tests are doable if u read the material page paper at the end so sick of doing philau papers
45,Robert  Warden,thinks too much knows too much but all in all hes a great person to work with though sometimes it looks like its painful for him to teach all the sweat is a shame
46,Robert  Warden,wonderful teacher he is kind and knows his stuff take him if you can
47,Robert  Warden,talks soo much zz where am i but very down to earth fair grader if u do the work participate in class it really really helps ur grade so do it
48,Bryan  Eldredge,i took his online class as an elective and regretted taking it by the end the information is interesting but he is a tough grader his tests were hard and very confusing
49,Bryan  Eldredge,he gives quizzes that are hard to understand the midterm and the final are a joke the questions are twisted in such a way to just confuse you which i think is his main goal you will love the class and hate it at the end most of my classmates agreed with me on this good luck you will need it
50,Bryan  Eldredge,best professor had at uvu if you show up pay attention participate and read learn a lot and get a good grade
51,Bryan  Eldredge,by far one of the best professors ever had he give busy work and he consistently checks to make sure that understanding the materials great professor highly recommend
52,Bryan  Eldredge,bryan is awesome he knows his stuff he knows how to teach for understanding and how to make all subjects interesting he expects quite a lot but is always there to help i came out learning a ton and loving the subject
53,Bryan  Eldredge,really good professor knows what talking about willing to work with you tests kinda hard and expects a lot but makes it fun if you pay attention you will do well in the class has you make a language for this class as final project
54,Bryan  Eldredge,great teacher and fun class two thumbs up and totally recommend this professor to others
55,Bryan  Eldredge,take this class bryan is the man do the reading and the assignments and study for midterm and final and be fine half is linguistics which might be difficult for some but he explains it well work on your language creation project throughout the semester great class i loved class discussions and he includes everyone take it
56,Bryan  Eldredge,before you take any of his classe you should have a masters in english he cares more about your grammar than your content he make very clear points and he tests on things that he teach and arent in the books nice man but perhaps not the best teacher
57,Bryan  Eldredge,language class was great be patient through the linguistics and the culture part is awesome be warned you will only get an a if you earn it completely read everything asked of you and do the workbook assignments hilarious and extremely fair very fun class highly recommended
58,Bryan  Eldredge,bryan is one of the best asl and deaf history teachers i have ever had pay attention and you go wrong
59,Bryan  Eldredge,he was my teacher for years he knows alot about deaf culture history and linguistics i loved having him and it was a lot of fun it was very educational for me if it werent for him then i be able to know a lot of things because i am currente
60,Bryan  Eldredge,he is very good he likes to take the time to teach his students he about how they do if you understand something he is willing to actually help you keeps class entertaining
61,Bryan  Eldredge,i am very disappointed in this class i have decided against taking any asl classes because of this instructor i have also changed my major because of this class
62,Bryan  Eldredge,very knowledgeable about the topic asl clear and easy to read expects a lot from his students and makes you earn that a but you come away from his classes with improved skill in asl and more knowledge about topics relating to the deaf highly recomended
63,Bryan  Eldredge,no comments
64,Bryan  Eldredge,very interesting willing to help and respects oppinions very knowledgable about the subject
65,Bryan  Eldredge,very good history teacher well informed clear signs and fair instructor
66,William  Hollinrake,took online course day after midterms i was the one who turned in the next assignment rest of the year was people turning in their homework took off points for incorrect comments not just incorrect code hyperspecific bad teacher wouldnt even help me install the software properly gave no link to online instructions either
67,William  Hollinrake,this professor should not teach he does not actually care about whether or not his students fail he does not give instruction but rather is a grader and when he does give feedback not productive he just tells you what you did wrong there is no helpful criticism he is just out for an ego boost
68,William  Hollinrake,he does not do a very good job of actually instructing if you meet with him during his how to schedule facetoface meeting hours then screwed as far as learning more good luck actually learning how to do anything from him
69,William  Hollinrake,he will give you a zero for even the smallest of errors does not answer questions or help just tells you to read the book his grading system is completely outrageous and the class is more about following his ever growing set of rules than learning to code not at all what i expected from an introductory coding class
70,William  Hollinrake,although this professor sticks to his syllabus when grading his system is outrageous i was deducted points from the first assignment out of points possible idk how that makes sense of which was for a single incorrect output when my other six were correct gives no credit for correct lines of code only deducts for wrong ones
71,William  Hollinrake,he answer questions and meet with students unless you submit your questions to him first over of the class has dropped out he has insulted students and grade fairly i told him i was having trouble on quizzes he told me to read the book he is an embarrassment for dmacc take his class
72,William  Hollinrake,his use different fonts and is just a list of all of the things you allowed to do this class about learning to code about remembering his rules bother asking him for help he answer questions if you follow his rules on how to ask questions he will respond but he will not help you
73,William  Hollinrake,missed the first assignment because i was moving did every assignment thereafter and he had me dropped at midterms for not attending does not give clear instructions and he seem to care at all about the students i get the impression he is one of those people that is miserable and wants everyone else to be miserable as well
74,William  Hollinrake,this professor has no concept of how to teach a class i should have read the warning signs he waits until the refund date for classes to actually assign homework his list of specifications took a full minute just to scroll through he double deducts points because he lists them in different ways do not take he enjoys taking points off
75,William  Hollinrake,horrible gives no help to students and expects unrealistic levels of perfection on homework
76,William  Hollinrake,i should have listened to the reviews on here avoid this instructor at all cost i started the class did my first assignment got out of correct and received a grade unrealistic expectations from this instructor dropped this class after the first quiz to get a refund
77,William  Hollinrake,this teacher will not inspire you to be a better programmer he takes pride in deducting as many points as possible do you want to get on an assignment because you forgot to comment the number and use correct naming conventions even though your program runs this professor is for you
78,William  Hollinrake,listened to everyone on here not sure how this guy still has a job unreal requirements that would not apply in the real world all based on what he wants to see not what is logical even if work is correct it has to be done in his ridiculously specific manner in order and you will still lose points avoid at all costs
79,William  Hollinrake,both books outdated one by years he did not explain his way on how to turn in assignments properly explanation for everything is repetition of syllabus and reread open days is required to meet he insulted students and scares students from giving instruction on discussion board the download is provided to him
80,William  Hollinrake,horrible instructor wish i had looked him up before taking his class change to another instructor immediately deducts points like going out of style fully functioning solutions with documentation deducted points for unclear technicalities
81,William  Hollinrake,hands down worst teacher ever drop now he is not helpful and takes joy in handing out consider yourself warned
82,William  Hollinrake,drop this class immediately absolutely will not teach anything that is not needed for the assignments flat out said he answer my question about something in the textbook because we need it for any assignments you are better off buying the book and using stackoverflow for your questions
83,William  Hollinrake,easily the worst teacher ever had his idea of teaching was just read the book he would look for any excuse to give on assignments i got one on the assignment of the semester not because it was late but because i sent it as attachment in email instead using blackboard it seemed to me like he was only there to collect a paycheck
84,William  Hollinrake,warning by far the worst online teacher no communication skills no desire to help
85,William  Hollinrake,showed his assignments and emails to it personnel i work with and was adivsed that his class be of use in the real world
86,Lauren  Baumbach,knows alot the class is long and boring but she gives good notes
87,Lauren  Baumbach,originally enjoy this woman however she is unfortunately stuck with teaching the worst subject of all time i like her alot as a person she is very dry and not interested in what teaching but who could blame her give her a shot ok
88,Lauren  Baumbach,knows but is really hard unfair grader and tests are horrible
89,Lauren  Baumbach,one word dry
90,Lauren  Baumbach,great teacher learned a lot from her class she is very helpful and is willing to meet with you after class if you are having trouble though shes a very hard grader she is reasonable take her class only if you are willing to learn and work
91,Lauren  Baumbach,very tough not funny but i learned alot overall not bad
92,Lauren  Baumbach,very helpful and she knows her stuff she is willing to help you with any questions you may have
93,Lauren  Baumbach,boring as dirt
94,Lauren  Baumbach,horrible professor graded unfairly will give you the same grade for projects based off your first project grade bias toward girls terrible experience with her for building tech
95,Lauren  Baumbach,talks like the shabby sheak lady on hgtv ohmygod informative helpful funny in dry way but there were handouts she and charlie read from a freaking novel that they expected us to write down me but got carpel tunnel me off
96,Lauren  Baumbach,great professor to take very professional
97,Lauren  Baumbach,this was probably one of my favorite studios lauren was very helpful and professional as well as working out details
98,Lauren  Baumbach,get sick during semester get no sympathy needs nu wardrobe safari attiregood thing she designs arch not clothing bases grades on pers opinion not ur work best wishes if u get stuck her
99,Beverly  Faunce,i loved the course i took with beverly i definitely got some practical information i could actually use
100,Beverly  Faunce,beverly was extremely helpful and had a lot of practical advice i will actually use what i learned in her class which certainly the case with all rtc courses
101,Beverly  Faunce,nice lady but clueless announcing that she was single and available help begged for us to give her fives i thought that was inappropriate
102,Beverly  Faunce,i have taken rtc courses and she was the worse instructor she was late to class and did not pay attention during class presentations we went to the a pool one day what a waste of time and money
103,Beverly  Faunce,professor faunce is a very fair teacher if you do your work get an a some of her activities may seem very elementary ed but the program not her
104,Beverly  Faunce,having just completed my rtc course she is by far the worst instructor had i would never take another course with her
105,Beverly  Faunce,kind of funny some of the activities make you feel like in elementary school
106,Deborah  Pluss,pluss is hysterical and made comm research methods bearable there are no surprises here and the final is just the four quizzes she gave throughout the semester of those four she drops the lowest one there were assignments quizzes including the final the material can be dry but not on her she made a boring class fun take her
107,Deborah  Pluss,prof pluss is sweet and upbeat her quizzes are about questions however she does drop the lowest of the there is a group project and a final project easy a if you study for the quizzes
108,Deborah  Pluss,i took her for research methods and had to drop her class half way nice lady but veryy tough grader and gives you an f even if you do the work i had fs even though i did my work and gave everything on time usually gives assignments and the final research project the lectures are pretty long overall i do not reccomend
109,Deborah  Pluss,professor pluss grades assignments very harshly even when you put effort into them not clear when explaining material and class is very boring
110,Deborah  Pluss,i believe she has changed her teaching style since these last comments very into the class but its just too much for a course had to curve the midterm and final because the averages were she would be great for a higher level course but you can definitely take an easier professor for this class
111,Deborah  Pluss,great professor i love this class she sso helpful and teaches in an interesting way the test and quiz was challenging but it was all good study cause you will need to know your stuff very fun class
112,Deborah  Pluss,she is a best professor we had project and exam i passed her class with a a or b i am not sure however she is helpful if you need a good grade and want to take the course i say take her class she is helpful and a great professor trust me
113,Deborah  Pluss,a great professor who give a fantastic introduction to the university if you have a chance to take her go for it
114,Deborah  Pluss,super nice lady and the class is super easy
115,Deborah  Pluss,the easiest a i ever got easiest grader wpu told going to be on the exams and speeches are graded more on effort and organization worry you have to give a powel or obamalike delivery
116,Deborah  Pluss,i love this professor she is awesome definitly take her
117,Deborah  Pluss,excellent professor and loves what she is teaching she is very nice and willing to help take her if you can very pleasant working environment and very down to earth
118,Deborah  Pluss,easy a.short homework assignments due weekly and easy midterm and final
119,Deborah  Pluss,she is a very fair prof.the material is easy and she makes it interesting.no midterm just weekly hw assignments a speech a few papers.i had a lot of fun in the class and i think a great instructor very sweet
120,Deborah  Pluss,very nice woman but really isnt the teaching type in a semester we learned maybe things total which she kept repeating over and over and over again pretty easy though final midterm speech and a paper
121,Deborah  Pluss,shes nice and occasionally has fun inclass assignments but most of the time its just boring common sense material tests are essays and study guides are very broad not much to evaluate your grade
122,Deborah  Pluss,no comments
123,Deborah  Pluss,she grades on the final midterm short paper min speech and attendance the paper speech are easy but the tests are tough she gives study guides but they cover a lot of material answers emails very quickly
124,Deborah  Pluss,she is very easy but you have to show up to classes because she covers the material on the test in class
125,Deborah  Pluss,pros pluss is very nice she tries to make class fun her grading is fair and if you take her notes you are sure to pass her tests she only assigns about report on a movie and oral report shes pretty easygoing and class was not hard at all
126,Lauren  Bold,great person and teacher easy style and fun to have class with
127,Lauren  Bold,very nice and smart she asked us to do a few extra papers beyond rtc requirements
128,Mary  Richardson,cool sometime laughs upsettingly loud but not from an evil intention she enjoys teaching class is about critical writing and provides fun discussion time it goes in appropriate pace so easy to keep up hw amount is moderate
129,Mary  Richardson,she is a very nice teacher she is really clear on what she wants us to accomplish tries and helps students understand as much as possible grades fair but a little hard do the homework a few essays from the readings but she will walk you through it
130,Mary  Richardson,no comments
131,Mary  Richardson,in addition to those two smiling faces below she is fair do your hw and be fine she is encouraging motivating consistent practical and understanding she prepares you well for final so you can not tricks there should be more teachers like her in sdsu it is a journey that you regret while in school and after
132,Mary  Richardson,she is one of the best professors ever had she really cares about her students and their learning experience she actually teaches i learned so much from her the only people who have any problems are the lazy ones that never go to class plus really cute
133,Mary  Richardson,mary is a very cute clothes she gives examples of a papers makes you write preparagraphs and discusses what is good and bad in them before the essays are clear only i got an and adored her class was only boring if you add to the conversation
134,Mary  Richardson,i did not know there is a teacher in this world that is lazy as she is she dismisses the class very early so if some student did not undrestand thay have to learn themselves at home but if you are lazy as she is and do not want to learn anything you may take her class do not worry she either gives you a grade to pass or not
135,Mary  Richardson,she isnt as hot as everyone is saying and her class is usually boring she drops your grade for bad attendence essays and assignments are easy enough though
136,Mary  Richardson,shes too damn liberal i think shes a communist she tries to politicize english thats not the way it should be
137,Mary  Richardson,one wordboring soo boring her lectures are unorganized
138,Mary  Richardson,great teacher very helpful and understanding
139,Mary  Richardson,she is not all that lectures are boring takes atendance and lower you score for missing class not helpful
140,Mary  Richardson,i never thought i would like a writing class she is very nice and helpfull good looking also
141,Mary  Richardson,an awesome professor i never thought i will enjoy writing til i had her as my professor
142,Mary  Richardson,she is a very teacher if you are motivated for learning definitly you can make it but please show up and hand in assignment on important
143,Mary  Richardson,grammar and language made easy should be the tittle of her class excellent professor
144,Mary  Richardson,great teacher hot very helpful
145,Tracey  Francese,really teach the class she just breaks us down into small groups and we have to read and do group discussions every class not much homework gives you study guides for the exam but doesnt really review overall dont take her if you dont like group discussions and if you teach yourself
146,Tracey  Francese,lots of reading does give a review sheet but exams are not easy if you read the chapters you have to spread to groups every class and discuss the readings if you hate reading or group discussions take her class
147,Tracey  Francese,i had prof francese a few semesters back i called on her for a letter of ref and she was all about it she was as helpful later as she was in class do the reading do the work and be fine she is very open minded and likeable
148,Tracey  Francese,i think that the women studies class would have been more interesting if i took another teacher francese seems like a nice person and her heart is in the right place but i just think she is teacher material he class is boring i dreaded going sorry ms francese but its the truth
149,Tracey  Francese,tests extremely difficult unless you actually memorize each of the definitions she hands out for you to look up the tests also have little to do with class discussions homework read pages a week her attitude standoffish does not understand this is a gen ed a studio art major which means more time consuming work than most oth
150,Tracey  Francese,ugh ridiculous francese is a nece person and seems to have a good heart but does have an attitude problem her class is very boring it could be an interesting class but she makes it boring
151,Tracey  Francese,the reading is absolutely ridiculuos the chapters are or more pages long that needs to be read for the next week discussion the book is so boring things that you absolutly would not have interest she says that she judge us based on our opinions but she does during discussion take her
152,Tracey  Francese,this was the easiest of all the classes i took this you take her at night she lets you out get no break either much gives you the answers to the test and there is a opinion paper class is all discussion with video and she trys to get guest is a short oral presentation on a reading of your choice
153,Tracey  Francese,really like her or the class the whole semester think doing good and then when your final grade is a d be surprised if you would like to read and memorize and entire book her exams are all fill in the blank then take this class
154,Tracey  Francese,her tests were imposible the reading is rediculous you have to memorize stuff that ultimatly means nothing
155,Tracey  Francese,a lot of reading a lot of memorization for the tests which are tough even if you read classtime is pretty much all discussion do all the readings and study for the tests and do okay not a class i looked forward to though
156,Tracey  Francese,very knowledged professor who knows what talking about and does not try to push her own opinions on topics raised in class onto her students the class is very interesting and she will open your eyes to a new world
157,Tracey  Francese,she is awesome i wish i needed to take more classes because i would definitly find something she was teaching she is very easy and laid back she really knows what she is talking about because she works in the field with abused women
158,Tracey  Francese,very good teacher wouldnt mind taking her for another class very fair with the work given
159,Tracey  Francese,class was intereseting the whole class was involved she was very nice cancelled class a few times i would take her again for another class
160,Tracey  Francese,she was very nice the assignments were clear very easy going i enjoyed going to her class she kept the class involved
161,Tracey  Francese,she gives a lot of reading all we did in class was read a reading from the book as a group and then discuss it preety easy her tests are easy if you read the book she was absent about times which was good for dont regret taking her
162,Candice  White,dr white is one of the best professors i have ever had she truly loves students and what she teaches she is like a mother in the classroom she is also really funny she gives pop quizzes a lot and there is assigned reading
163,Candice  White,great teacher knows what she is talking about super nice and funny explains things clearly
164,Candice  White,she is the best professor i ever had in my life great personality and very knowledgeable very respectful professional and helpful even if you were not perfect but were working hard she will give you great grade she is my favorite professor and absolutely recommend her class
165,Candice  White,she is the best professor i ever had in my life great personality and very knowledgeable respectful to students and very helpful even if you were not perfect but were working hard she will give you great grade i love her so much
166,Candice  White,dr white has a very outspoken personality if she sees you sleeping or daydreaming she will call you out however she is an amazing teacher truly knows what she is talking about and really wants you to actually learn if you enjoy pr take her i would recommend her to everyone
167,Candice  White,you absolutely have to read every night because she has pop quizzes so randomly sometimes once or twice a week and they are very technical questions that multiple choice and she drop it at the end when she drops your lowest quiz grade we also has a paper that she changed to being worth percent of our grade after turning it in
168,Candice  White,by far the most condescending mean disrespectful and downright rude professor ever of all the classes i have taken in my college career this was the absolute worst very unclear instructions not to mention ridiculous amounts of outdated readings required do yourself a favor and do not take any classes by her you will regret it
169,Candice  White,loved her she is a bit crazy but in a good way she genuinely wants her students to have a good grasp on the material if she is teaching any other upper level pr classes while at ut i will definitely sign up for them attendance mandatory but encouraged she gives inclasses quizzes pretty often worth a lot of your grade
170,Candice  White,she really contradicts herself you have to read the book before she teaches you or else you will get confused she rambles about her study abroad trip a good of most classes
171,Candice  White,dr white is by far the best teacher had at ut if you come to class and pay attention she will be incredibly helpful especially in office hours she gives pop quizzes but also gives at least opportunities to replace a bad quiz grade if you come to class overall helpful to the point and knows her stuff take this class for sure
172,Candice  White,good instructor skip classshe gives frequent pop quizes read the text ask questions and take good notes tests are multiple choice
173,Candice  White,she is a very good teacher she loves the subject she has a quiz every week but like one question and writing your already of the quiz boosts up my grade for sure the exams are pretty easy but i still fail them lol still gives you credit for speaking up in class and she likes it if you sit in the first rows
174,Candice  White,dr white is a fantastic instructor she is very passionate about pr and gets the class involved so that you falling asleep she offers daily quizzes to check attendance and to help boost your grade she is absolutely wonderful and someone i admire greatly
175,Candice  White,dr white is scary and can be rude she knows what she is talking about but intimidated me to death wants people to join in the discussion and will call you out in front of the class if you made a mistake i did learn a lot but would have rather had a different professor if you have to take her you will be fine i got a for the course
176,Candice  White,dr white is an incredible professor two years into my pr career i still quote things she said in my class tough but fair despite appearance pr is very difficult field her class is a good test on whether succeed sit in the front join prssa and do all the readings if you enjoy this class major in pr
177,Candice  White,she is horrible talks to students like the are in fifth grade take dr shaw
178,Candice  White,be vocal and participate if she can tell daydreaming screwed very intelligent woman and knows her stuff she remembers just about all of her students which i think is a good sign i really liked her one of my fave profs she was my advisor too and helped me a lot
179,Candice  White,i liked her and she still remembers me i would suggest sitting in the front row or at least be vocal during discussions the best way to get a long with her
180,Candice  White,she does favor those who are vocal in class and demonstrate comprehension of the material so sit near the front and speak out i got a in the class and cracked the book maybe twice just look out for the squeeks
181,Candice  White,the worst teacher i ever had so negative about everything not understanding and just plain unfair to people she favor highly reccomend taking this course from dr.shaw
182,Pat  Ledbetter,the most time consuming class ever taken she is a tough grader but very detailed in her feedback online class had total papers and endless online discussions i asked her a question about one of the papers and she was very rude about it admit i read the entire assignment but still she been nicer about it
183,Pat  Ledbetter,this class will kick your butt with that being said you will become a better student because of it instructor is very very knowledgeable and has fantastic real life stories to share this class requires a lot out of you tests are far from easy and the countless papers and online classroom discussions will require a lot of time and committmen
184,Pat  Ledbetter,i liked her her instructions were detailed and it was easy to do an assignment then look at the list and check them off she wrote up her own material which was easily printed off from canvas and her video lectures could be listened to on mobile app topics changed every wks but i promise you will learn so much do all extra credit
185,Pat  Ledbetter,if you have a lot of classes work i do not recommend this class she is a great teacher opinionated but thoughtful papers due every two weeks one semester paper and participation in online threads mandatory min of two posts then at least two more as more people joined study for the
186,Pat  Ledbetter,this class is definitely a challenge but one that i enjoyed she does assign alot of work but gives plenty of time to turn them in some say that opinionated but like to think of her as a free thinker aware of the problem with society she wants students to think and i can appreciate that study study i pulled off an
187,Pat  Ledbetter,good teacher
188,Pat  Ledbetter,writing notes important to pass she takes notebooks for a grade will not let you use laptop in class txtbk only available online mcgrawhill complete learnsmart sections on mcgrawhill almost every week for hmwk online quiz every week min for questions nice helpful some classmates are offended when she has to cover
189,Pat  Ledbetter,extremely opinionated and grades papers based off the opinions stated i.e if you disagree with what she says in lecture your grade will be poor worst professor ever had
190,Pat  Ledbetter,take notes for a grade read assigned chapters hw test are over lecture readings extra credit does not let you fail amazing at help a semester research paper pgs but if you ask her for help visit her office working hard an easy bc she helps you out so much you will learn if dedicated
191,Pat  Ledbetter,professor ledbetter may seem a little all over the place okay she really is all over the place read the textbook a test every couple of weeks a lecture and reading there for help all you have to do is ask she has plenty of material to help you with your topics for her research paper i really enjoyed her class
192,Pat  Ledbetter,papers for a short summer term please do yourself a favor and take her class tough grader endless homework
193,Pat  Ledbetter,amazing i learned so much from prof ledbetter and the course is very eye opening loved and would definitely take again
194,Pat  Ledbetter,pat ledbetter is extremely knowledgeable and certainly knows this subject inside and out she is very involved with the online students as she would email me right back if ever i had any issues or questions she interacts with the class in the discussion forums as well i must tell you however that you do need to do the work she likes to assign writing papers and her tests can be challenging but if you aim to learn and do the work you will learn she is very good at what she does but she is pretty tough
195,Pat  Ledbetter,do yourself a favor and do not take this class the papers that you will be directed to write will come with vague instructions when you follow the instructions guess what the rules change and you are penalized unfair grading vague descriptions topic jumping also vague you do not know how she arrives at your grade because its made up
196,Pat  Ledbetter,lots of homework unit papers plus term paper unit quizzes reading and rating other work and mandatory active participation on discussion boards not easy to work into a busy schedule as you had to more or less log in and participate daily no text book but minute video lectures each unit
197,Pat  Ledbetter,class is intense omg i had to work my butt off for an a lots of papers to write her directions very clear bunch of discussion board posts to make to if you think this is a blow off class think again you have to put in alot of work for this teacher i managed to barely streak by with an a i been happy with a c in this class
198,Pat  Ledbetter,her course is fairly intense so if you willing to do a research paper or read your textbook going to have a bad time the lecture tests were easy if you pay attention i did and the reading tests were easy if you read i if you write a good paper take good notes and read the book you should be fine
199,Pat  Ledbetter,this class is not easy you have to work your butt off to get an a there are so many papers to write and she grades them pretty tough her directions very clear either you also have alot of discussion board posts to make you have to put in alot of work for this teacher as long as you do all the work on time you will pass
200,Pat  Ledbetter,took this class online and there is much work involved each week many discussion boards requiring active participation there were research papers with confusing instructions although you could write about almost anything this class is not an easy a but possible if you put the work in
